elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
2.20694,1.37933,-5.83832,4.24813,5.00157,1.9494,-0.10097,-0.212369,-1.11468,-0.278508,-0.567563,-0.541489,0.554162
0.496796,-4.47453,2.93901,-2.34398,-1.39936,-3.25554,-0.197856,0.113447,0.322378,0.481246,0.774495,-0.393633,-0.116669
2.18107,-1.72407,0.544836,-3.06084,0.37946,-4.47198,-0.230405,-0.163315,1.33059,0.0109391,0.578747,0.589847,0.56304
0.469539,0.687393,3.17927,3.57693,4.36067,-5.37616,-0.156737,0.0707323,0.223489,0.962837,-0.0579844,0.0773079,-0.252204
2.89468,5.71596,-2.99919,4.01767,-4.46778,-1.42166,-0.079782,-0.130378,0.117165,0.129014,0.521341,-0.22898,0.811867
-2.86702,-3.3309,-1.0304,-1.97135,-2.737,2.66772,0.824988,0.162772,-0.593253,0.673119,-0.192817,0.106276,0.706002
-0.50749,-4.73593,-5.74633,-5.79076,3.75036,3.09935,-0.201414,0.201864,-0.792811,-0.786686,-0.185014,-0.120694,0.576479
-0.671213,-3.66036,-5.71085,4.21051,-5.90369,0.339039,-0.757862,0.96256,-0.183343,0.167695,-0.55223,0.343097,0.741084
1.6585,0.849205,1.75671,-3.73335,2.653,-1.58772,-0.0749029,0.0385675,-0.573017,0.652833,0.534613,-0.499506,-0.196196
2.76277,-3.99049,5.90434,4.47267,-0.16882,-1.65462,0.477477,-0.501162,-0.934601,-0.453423,0.550521,0.435789,0.549019
-1.76131,5.36764,1.6411,-4.91559,-0.783744,-1.01291,0.112278,-0.773384,0.418355,0.423437,0.791581,0.0705326,-0.434887
-0.637565,-2.3257,1.48586,4.77272,2.51366,3.39614,0.0465896,0.0648383,1.18544,-0.604174,0.586427,-0.179372,0.508824
0.582283,-0.670248,-1.11394,-3.55397,-4.44098,0.0738571,0.195145,0.29959,0.958678,-0.250157,-0.216797,0.79171,0.513436
1.37653,-3.53709,-1.60062,5.77258,2.48032,1.70805,-0.14684,-0.32071,-0.71493,-0.00673829,-0.563778,0.304332,0.767783
-0.94465,2.61421,-6.04411,3.2467,-1.14885,1.70579,-0.500074,1.07007,-0.427383,0.511327,-0.394261,0.576049,0.501269
-1.64709,-0.659147,-3.2194,-0.694419,6.02895,-2.32442,0.290197,0.0314797,0.217524,0.72017,0.325401,-0.526579,-0.313343
-2.07341,1.04456,-4.72169,2.63177,-0.361141,3.76513,0.296696,-0.0481189,-0.736509,0.246424,-0.535197,-0.548904,0.592911
-1.38319,6.09469,0.259671,4.72578,-4.42149,5.21655,0.380861,-1.25173,0.355994,0.891995,-0.426176,0.0927103,-0.118839
-1.65557,4.23862,-2.9817,-0.628732,0.934561,0.208863,0.250796,0.076701,0.0302249,-0.413159,-0.304884,0.0166882,0.857944
-2.32394,-0.242116,-3.92379,-2.60782,-3.80631,3.34541,-0.225541,-0.36108,-0.232556,0.425795,0.681172,0.237601,0.546122
-1.99819,-2.8745,-2.7295,5.1334,1.70777,4.25972,0.139447,-0.0755889,-0.0710881,-0.254259,0.812367,0.332693,0.405867
-2.37024,3.29806,3.05849,-3.54214,-0.444333,-3.11032,0.2136,-0.18199,0.363877,-0.75374,-0.0308207,0.198342,0.625769
1.78867,3.98102,1.20262,-3.46305,5.06119,-4.27715,-0.154477,-0.292191,1.27215,0.423326,0.886242,0.0509052,0.181051
